trip_id,date,time,day_of_week,is_weekend,source,destination,distance_km,travel_time_min,avg_speed,road_type,vehicle_type,traffic_level
24,2016-06-27,13,0,0,"40.7549,-73.9844","40.76,-73.9709",1.270645667061181,11.783333333333333,6.470048658303043,city,bus,High
25,2016-06-18,16,5,1,"40.7286,-73.9817","40.7519,-73.9754",2.644651487153642,12.45,12.74530837182478,city,bike,Medium
26,2016-03-03,14,3,0,"40.7617,-73.9749","40.7452,-73.9869",2.0947297410636243,10.333333333333334,12.162946883595238,city,car,Medium
27,2016-01-07,18,3,0,"40.7426,-73.9847","40.7249,-73.9994",2.3254516851292792,10.666666666666666,13.080665728852198,city,bus,Medium
28,2016-06-17,8,4,0,"40.78,-73.9532","40.8037,-73.9485",2.664856872503631,8.333333333333334,19.186969482026143,city,bike,Medium
29,2016-05-22,2,6,1,"40.7501,-74.0024","40.7536,-73.9969",0.6050644250961821,2.316666666666667,15.670733311843563,city,car,Medium
30,2016-03-11,20,4,0,"40.7648,-73.9921","40.7418,-74.0047",2.768963693031461,9.116666666666667,18.223527047373416,city,bus,Medium
31,2016-01-21,20,3,0,"40.7739,-73.8747","40.7806,-73.957",6.969825792090461,22.683333333333334,18.435982991569183,city,bus,Medium
32,2016-01-20,22,2,0,"40.7223,-73.9871","40.7705,-73.9573",5.918396758658553,11.966666666666667,29.674412717508066,city,car,Low
33,2016-03-17,11,3,0,"40.7296,-73.9778","40.6453,-73.7764",19.396728399331845,45.45,25.606242111329166,highway,bike,Low
34,2016-01-10,11,6,1,"40.7428,-73.9958","40.7344,-74.0024",1.0870284335976514,3.8,17.16360684627871,city,bike,Medium
35,2016-05-17,23,1,0,"40.7384,-73.9876","40.7629,-73.9784",2.8323605725135526,8.133333333333333,20.89446323985408,city,bike,Medium
36,2016-03-04,15,4,0,"40.7504,-73.9719","40.75,-73.9941",1.8705931315002389,25.05,4.480462590419734,city,car,High
37,2016-02-23,8,1,0,"40.7464,-74.0011","40.7575,-74.0009",1.2343786561622119,10.95,6.763718663902531,city,bike,High
38,2016-02-13,17,5,1,"40.7584,-73.9925","40.7519,-73.9766",1.5218534845512652,6.9,13.233508561315348,city,bus,Medium
39,2016-03-26,21,5,1,"40.7465,-73.9861","40.7642,-73.9625",2.797343742387359,12.516666666666667,13.409370802389468,city,car,Medium
40,2016-06-11,17,5,1,"40.7674,-73.9595","40.7504,-73.9913",3.278270875948126,21.6,9.106307988744794,city,car,High
41,2016-03-09,13,2,0,"40.7537,-73.9889","40.7588,-73.9699",1.6978655179357163,15.116666666666667,6.739047259722798,city,bike,High
42,2016-06-05,19,6,1,"40.7532,-73.9753","40.7937,-73.9695",4.5298014512674145,16.65,16.32360883339609,city,bus,Medium
43,2016-05-05,17,3,0,"40.741,-73.9941","40.7207,-73.846",12.681652724099434,56.7,13.419738332380353,city,car,Medium
44,2016-05-24,10,1,0,"40.7781,-73.9456","40.7419,-73.9759",4.766071428960258,20.666666666666668,13.836981567949135,city,car,Medium
45,2016-04-18,1,0,0,"40.761,-73.914","40.7652,-73.9177",0.5614370439158735,1.5666666666666667,21.501844235076007,city,bus,Medium
46,2016-01-15,20,4,0,"40.7477,-73.9766","40.7182,-73.7596",18.576107145838403,88.48333333333333,12.596343139012667,highway,bus,Medium
47,2016-05-15,13,6,1,"40.7288,-73.9763","40.7495,-73.9919",2.6505498559512866,11.25,14.136265898406862,city,bike,Medium
48,2016-06-27,21,0,0,"40.7688,-73.9824","40.7487,-73.9915",2.362787637498947,11.966666666666667,11.846846093309482,city,bike,Medium
49,2016-06-20,22,0,0,"40.7572,-73.9897","40.7518,-73.9783",1.1325221577286808,7.716666666666667,8.805787835471383,city,bike,High
50,2016-06-18,20,5,1,"40.7464,-73.9819","40.7494,-73.9911",0.8437516338480089,5.85,8.65386291126163,city,bus,High
51,2016-03-24,1,3,0,"40.7284,-73.9878","40.6987,-73.9165",6.857077941850175,22.4,18.367173058527257,city,car,Medium
52,2016-06-15,20,2,0,"40.7777,-73.9633","40.7792,-73.9538",0.817116849260275,5.6,8.754823384931518,city,bike,High
53,2016-04-10,12,6,1,"40.7388,-74.0082","40.7373,-74.0008",0.6453935636829264,5.65,6.853736959464705,city,car,High
54,2016-04-03,15,6,1,"40.7751,-73.9552","40.7796,-73.9597",0.6276558108396839,5.083333333333333,7.408396455812664,city,bike,High
55,2016-06-05,15,6,1,"40.7558,-73.9705","40.7683,-73.8617",9.268181696605021,20.116666666666667,27.64329254994041,city,car,Low
56,2016-05-24,8,1,0,"40.7408,-73.9817","40.7536,-73.9762",1.4968096035837473,13.45,6.677217562455379,city,bike,High
57,2016-03-30,9,2,0,"40.7511,-73.9941","40.7668,-73.9832",1.972440229327635,13.533333333333333,8.744808898496904,city,bike,High
58,2016-05-08,3,6,1,"40.7402,-74.0059","40.7588,-73.9941",2.294691772607708,7.8,17.651475173905446,city,bike,Medium
59,2016-06-22,13,2,0,"40.7504,-73.9742","40.7498,-73.9915",1.4588309169518032,18.566666666666666,4.714354848318215,city,car,High
60,2016-02-13,11,5,1,"40.7234,-73.9967","40.7293,-73.9842",1.2409393311547907,6.683333333333334,11.140602474207597,city,bike,Medium
61,2016-05-05,23,3,0,"40.7697,-73.9879","40.7606,-73.991",1.0450117364460907,3.6666666666666665,17.10019205093603,city,bike,Medium
62,2016-03-20,13,6,1,"40.7574,-73.9715","40.77,-73.9612",1.647864018795481,6.333333333333333,15.611343335957187,city,car,Medium
63,2016-03-04,21,4,0,"40.7613,-73.9714","40.7506,-73.9911",2.0418029367996224,8.55,14.328441661751734,city,car,Medium
64,2016-02-16,1,1,0,"40.7526,-73.9794","40.7366,-73.9798",1.7794379259707342,4.683333333333334,22.79706951421581,city,bus,Medium
65,2016-03-20,22,6,1,"40.7346,-73.9906","40.7358,-73.9859",0.41787991518276923,3.966666666666667,6.320872666630123,city,car,High
66,2016-06-10,22,4,0,"40.7641,-73.9833","40.7646,-73.9956",1.0373870850421123,7.366666666666666,8.44930657500363,city,bike,High
67,2016-04-21,7,3,0,"40.7716,-73.965","40.7583,-73.973",1.6251334786095195,5.066666666666666,19.24500172037589,city,car,Medium
68,2016-02-16,18,1,0,"40.7794,-73.9812","40.8013,-73.9657",2.7627480976629055,5.35,30.98409081491109,city,bus,Low
69,2016-04-12,13,1,0,"40.7315,-73.9946","40.7411,-73.9855",1.3142874885305171,13.3,5.9291164896113555,city,bike,High
70,2016-03-07,19,0,0,"40.784,-73.9703","40.7246,-74.0018",7.117989413171938,31.116666666666667,13.725100100385097,city,bus,Medium
71,2016-01-29,20,4,0,"40.7327,-73.9939","40.7141,-74.0095",2.45067457566778,13.5,10.891887002967911,city,bus,Medium
72,2016-02-22,20,0,0,"40.7557,-73.9898","40.7566,-73.9743",1.309388605850289,7.666666666666667,10.24738908926313,city,bus,Medium
73,2016-01-10,13,6,1,"40.7595,-73.9918","40.741,-74.0051",2.3424082576093164,5.583333333333333,25.172148439980717,city,car,Low
74,2016-03-15,16,1,0,"40.7713,-73.9597","40.7644,-73.9695",1.1268508048082295,5.95,11.363201393024163,city,bus,Medium
75,2016-02-08,15,0,0,"40.7909,-73.9653","40.775,-73.9827",2.296096264378035,9.283333333333333,14.840119482515126,city,bike,Medium
76,2016-04-01,7,4,0,"40.7638,-73.9816","40.7511,-73.983",1.4170902424017253,4.516666666666667,18.8248150282148,city,bike,Medium
77,2016-01-06,20,2,0,"40.7738,-73.871","40.7244,-73.9375",7.845649708460552,10.15,46.37822487759932,city,bike,Low
78,2016-03-01,22,1,0,"40.747,-73.9853","40.7292,-73.9842",1.981438285404701,6.583333333333333,18.058678044194743,city,bus,Medium
79,2016-06-14,22,1,0,"40.7395,-73.9952","40.7799,-73.9767",4.754830221484914,22.216666666666665,12.841251910987015,city,bus,Medium
80,2016-01-22,15,4,0,"40.7287,-74.0026","40.7479,-74.0045",2.140935593192959,9.783333333333333,13.130099038321383,city,bus,Medium
81,2016-01-14,0,3,0,"40.7333,-73.9873","40.7539,-73.9727",2.5999577460166745,6.883333333333334,22.663069941065444,city,bike,Medium
82,2016-03-04,18,4,0,"40.7663,-73.9829","40.7557,-73.9746",1.3703763710966437,6.433333333333334,12.78071226929512,city,bike,Medium
83,2016-05-31,14,1,0,"40.758,-73.9818","40.7649,-73.9865",0.8633424216762976,21.716666666666665,2.3852898833727334,city,car,High
84,2016-04-10,13,6,1,"40.7111,-74.0089","40.7405,-73.9945",3.487076243459475,15.433333333333334,13.556667901138347,city,bus,Medium
85,2016-03-09,13,2,0,"40.7365,-73.9923","40.7496,-73.9881",1.4990123479299156,12.333333333333334,7.292492503442832,city,bus,High
86,2016-05-04,6,2,0,"40.7162,-73.9918","40.7318,-73.9823",1.9104679906280109,3.466666666666667,33.0657921454848,city,bus,Low
87,2016-05-13,13,4,0,"40.75,-74.0061","40.73,-74.007",2.225190805713448,7.666666666666667,17.414536740366113,city,bus,Medium
88,2016-03-25,17,4,0,"40.7224,-73.9871","40.7201,-73.9786",0.7606128638906446,2.9833333333333334,15.297241955342573,city,bike,Medium
89,2016-05-13,10,4,0,"40.76,-73.9723","40.7614,-73.9829",0.9062432860151004,12.433333333333334,4.373291996855713,city,bike,High
90,2016-06-17,13,4,0,"40.7811,-73.9608","40.7873,-73.9763",1.4759163673375744,6.016666666666667,14.718279563477196,city,bus,Medium
91,2016-06-04,1,5,1,"40.73,-73.9816","40.7428,-73.9962",1.881211675383047,12.633333333333333,8.934514553270407,city,bus,High
92,2016-03-28,11,0,0,"40.7561,-73.9725","40.7352,-73.9916",2.8266344374001897,15.833333333333334,10.711456815411244,city,car,Medium
93,2016-06-26,1,6,1,"40.8036,-73.9556","40.8096,-73.9476",0.9478828689393802,6.35,8.956373564781547,city,bus,High
94,2016-05-19,19,3,0,"40.7278,-73.9852","40.779,-73.9764",5.74123282189968,32.916666666666664,10.465031979158912,city,bike,Medium
95,2016-04-29,10,4,0,"40.75,-73.992","40.7549,-73.9779",1.3067158567434634,12.816666666666666,6.117265389176161,city,bus,High
96,2016-06-08,21,2,0,"40.7505,-73.9908","40.7315,-73.989",2.118139179891108,8.666666666666666,14.66404047616921,city,car,Medium
97,2016-05-19,6,3,0,"40.7566,-73.9933","40.7428,-74.0074",1.940467829303392,5.533333333333333,21.04121742618136,city,bus,Medium
98,2016-01-11,22,0,0,"40.6438,-73.7903","40.6694,-73.9244",11.664746395657389,25.633333333333333,27.303697675140832,city,car,Low
99,2016-01-14,10,3,0,"40.7727,-73.9514","40.7477,-73.9807",3.717205425529451,18.966666666666665,11.759173578124804,city,bus,Medium
100,2016-04-17,0,6,1,"40.7687,-73.9846","40.7367,-73.9931",3.629558504700882,14.45,15.070831161387746,city,car,Medium
101,2016-05-16,16,0,0,"40.774,-73.8734","40.7607,-73.9845",9.472488481872999,35.85,15.853537208155645,city,car,Medium
102,2016-04-24,1,6,1,"40.7711,-73.9535","40.7761,-73.947",0.7801911911254741,2.4166666666666665,19.370264055529013,city,bus,Medium
103,2016-04-30,3,5,1,"40.7554,-73.9766","40.7455,-73.9753",1.1062631519721042,6.316666666666666,10.508040493666426,city,bus,Medium
104,2016-03-14,4,0,0,"40.7605,-73.9861","40.7587,-73.9794",0.5987528616065232,2.2666666666666666,15.849340454290319,city,car,Medium
105,2016-06-07,11,1,0,"40.7655,-73.9975","40.7651,-73.9553",3.5542777674031782,29.583333333333332,7.2086760352965875,city,bus,High
106,2016-03-17,15,3,0,"40.7664,-73.9602","40.7558,-73.9712",1.4991916919875492,6.516666666666667,13.803299465870017,city,car,Medium
107,2016-04-15,13,4,0,"40.7141,-74.0118","40.647,-73.7897",20.160138841437636,69.25,17.467268310270878,highway,car,Medium
108,2016-04-15,1,4,0,"40.7289,-73.9905","40.7429,-73.993",1.5709148629227028,6.716666666666667,14.032986368540273,city,car,Medium
109,2016-05-12,1,3,0,"40.7519,-74.0043","40.7482,-73.9877",1.4576078993062664,6.933333333333334,12.613914513227305,city,bus,Medium
110,2016-03-28,8,0,0,"40.7737,-73.8707","40.7556,-73.9729",8.839339664870096,56.65,9.362054367029229,city,bus,High
111,2016-06-10,18,4,0,"40.7487,-74.0043","40.6928,-73.9931",6.287051930592921,27.1,13.919672171054437,city,car,Medium
112,2016-03-10,21,3,0,"40.7443,-73.981","40.79,-73.973",5.126075201039589,20.416666666666668,15.064384264279607,city,bike,Medium
113,2016-03-08,15,1,0,"40.7224,-73.9869","40.7138,-74.0134",2.42947869149461,11.683333333333334,12.476638073296144,city,car,Medium
114,2016-06-27,4,0,0,"40.763,-73.978","40.7667,-73.9215",4.776102234445473,11.55,24.810920698418037,city,car,Medium
115,2016-02-01,9,0,0,"40.751,-73.9825","40.7373,-73.9781",1.5678198775850956,9.6,9.798874234906847,city,bus,High
116,2016-05-12,8,3,0,"40.7754,-73.9765","40.7564,-73.972",2.14642505575719,11.616666666666667,11.08627001538864,city,bike,Medium
117,2016-05-07,16,5,1,"40.7489,-74.0071","40.7228,-74.0097",2.910443561496551,9.75,17.91042191690185,city,car,Medium
118,2016-03-25,1,4,0,"40.7448,-73.9831","40.7257,-73.9838",2.1246418773101015,6.7,19.026643677403893,city,bike,Medium
119,2016-02-11,14,3,0,"40.7839,-73.9705","40.7729,-73.9792",1.425732913639552,7.833333333333333,10.9205074236221,city,bike,Medium
120,2016-05-04,22,2,0,"40.7731,-73.8859","40.7175,-73.9616",8.882086929061511,15.016666666666667,35.48891558781514,city,car,Low
121,2016-05-02,8,0,0,"40.7722,-73.9522","40.7584,-73.9708",2.19281553454985,15.166666666666666,8.674874642175231,city,bus,High
122,2016-04-09,6,5,1,"40.7725,-73.9526","40.755,-73.9799",3.012127769608537,7.166666666666667,25.217813885094728,city,bus,Low
123,2016-04-22,12,4,0,"40.7766,-73.964","40.7607,-73.982",2.3288656787544944,15.1,9.253770908958256,city,bike,High
124,2016-04-27,11,2,0,"40.7876,-73.9677","40.7826,-73.9556",1.1605718308519546,9.483333333333333,7.342809474634512,city,car,High
125,2016-02-19,23,4,0,"40.7416,-73.9963","40.7918,-73.9464",6.987033265445374,21.583333333333332,19.423412938689843,city,bus,Medium
126,2016-06-16,19,3,0,"40.7847,-73.9795","40.7758,-73.9822",1.0154109706800585,5.983333333333333,10.182394134953233,city,car,Medium
127,2016-01-28,23,3,0,"40.765,-73.9684","40.7842,-73.9567",2.351302585255696,5.583333333333333,25.26772927438957,city,bus,Low
128,2016-05-24,18,1,0,"40.7323,-74.0006","40.7445,-73.9795",2.2361995141443174,14.4,9.317497975601322,city,bus,High
129,2016-03-17,17,3,0,"40.747,-73.985","40.7414,-73.9785",0.8292167620173062,5.8,8.578104434661789,city,car,High
130,2016-02-04,16,3,0,"40.7573,-73.9744","40.7226,-73.9933",4.174116618417025,21.166666666666668,11.832141595512825,city,bus,Medium
131,2016-03-12,11,5,1,"40.7626,-73.9703","40.7745,-73.9517",2.050475711824933,10.316666666666666,11.92522223355373,city,bike,Medium
132,2016-01-29,5,4,0,"40.7418,-74.001","40.8079,-73.9459",8.691921398200927,18.783333333333335,27.764788849621414,city,bus,Low
133,2016-03-03,17,3,0,"40.7078,-74.0037","40.6502,-73.7857",19.467122607569834,86.16666666666667,13.555443208365842,highway,car,Medium
134,2016-06-19,6,6,1,"40.7793,-73.9509","40.7563,-73.9894",4.129532789288962,9.516666666666667,26.035583259965435,city,car,Low
135,2016-06-12,5,6,1,"40.7286,-74.0055","40.6704,-73.6434",31.203942933216908,40.85,45.831984724431194,highway,bike,Low
136,2016-05-20,8,4,0,"40.7541,-73.9961","40.7086,-74.0155",5.316892004044258,17.766666666666666,17.955732846678547,city,bus,Medium
137,2016-01-22,23,4,0,"40.7454,-73.9783","40.7557,-73.9873",1.3734959724060536,9.783333333333333,8.4234846689298,city,car,High
138,2016-01-29,19,4,0,"40.718,-73.9999","40.7404,-73.9862",2.7452844127258302,23.133333333333333,7.120334211680828,city,bike,High
139,2016-04-17,23,6,1,"40.7576,-73.9702","40.7472,-73.9933",2.2635179116277118,8.5,15.977773493842673,city,bus,Medium
140,2016-04-28,21,3,0,"40.7396,-73.9867","40.7417,-73.9762",0.9149172833378386,13.033333333333333,4.211895422015625,city,bike,High
141,2016-05-03,1,1,0,"40.7653,-73.984","40.7811,-73.9832",1.7581709262379746,5.1,20.68436383809382,city,bus,Medium
142,2016-04-17,15,6,1,"40.786,-73.9762","40.7977,-73.9632",1.7000747775402774,5.216666666666667,19.553575716118203,city,bike,Medium
143,2016-04-08,11,4,0,"40.7518,-73.9822","40.7301,-73.9932",2.5847771186887223,24.7,6.278810814628475,city,car,High
144,2016-05-12,8,3,0,"40.7593,-73.9852","40.7057,-74.0166",6.520902035048772,29.25,13.376209302664149,city,bike,Medium
145,2016-02-28,9,6,1,"40.7782,-73.9854","40.7142,-74.0065",7.3351048209057295,22.95,19.1767446298189,city,bus,Medium
146,2016-05-23,10,0,0,"40.8279,-73.9495","40.7813,-73.9759",5.638023139042189,16.466666666666665,20.543404150356153,city,bike,Medium
147,2016-02-05,12,4,0,"40.7535,-73.9745","40.7532,-73.996",1.8113196832343117,8.6,12.637114069076592,city,bike,Medium
148,2016-06-29,19,2,0,"40.7103,-74.0098","40.7419,-74.0011",3.589426774497639,12.966666666666667,16.609172735464654,city,bike,Medium
149,2016-03-26,19,5,1,"40.7118,-74.0079","40.7074,-74.0118",0.5894348185411235,6.633333333333334,5.331571222985036,city,bus,High
150,2016-03-17,21,3,0,"40.7756,-73.9584","40.7508,-73.9902",3.8441373320036734,20.1,11.475036811951263,city,bike,Medium
151,2016-04-02,16,5,1,"40.7311,-74.0015","40.75,-74.0063",2.1401384606105482,25.933333333333334,4.951477158224919,city,bus,High
152,2016-04-26,8,1,0,"40.811,-73.9529","40.8192,-73.9568",0.9690687024844788,4.533333333333333,12.82590929758869,city,bus,Medium
153,2016-04-18,9,0,0,"40.7594,-73.9856","40.7628,-73.9745",1.0084294224909294,8.25,7.334032163570395,city,car,High
154,2016-01-12,17,1,0,"40.7808,-73.959","40.7774,-73.9752",1.4154712945770318,8.016666666666667,10.593963951096287,city,bus,Medium
155,2016-02-10,23,2,0,"40.7437,-73.9732","40.7438,-73.9877",1.2216074564675863,9.716666666666667,7.543373659148045,city,bus,High
156,2016-01-04,9,0,0,"40.7748,-73.9771","40.7797,-73.9599",1.5473875791139482,8.333333333333334,11.141190569620427,city,car,Medium
157,2016-04-07,21,3,0,"40.7685,-73.9822","40.7506,-73.9908",2.1180920249267583,12.3,10.332156219154918,city,bus,Medium
158,2016-05-12,22,3,0,"40.779,-73.9624","40.7687,-73.9877",2.418782636749539,9.233333333333333,15.717721105231663,city,bus,Medium
159,2016-02-22,10,0,0,"40.7468,-73.9912","40.7468,-73.9912",0.0,15.666666666666666,0.0,city,bus,High
160,2016-04-22,17,4,0,"40.7559,-73.965","40.7275,-73.9951",4.050080649382908,22.35,10.872699729887001,city,bike,Medium
161,2016-06-25,9,5,1,"40.7629,-73.9838","40.7689,-73.9923",0.9785455808658139,11.616666666666667,5.054180905476226,city,car,High
162,2016-05-18,11,2,0,"40.7541,-73.9781","40.7742,-73.9849",2.307223878449507,23.816666666666666,5.812460435562089,city,car,High
163,2016-06-25,10,5,1,"40.7626,-73.9788","40.7301,-73.9928",3.8014155777004084,22.216666666666665,10.266388656955343,city,bike,Medium
164,2016-03-11,12,4,0,"40.77,-73.9647","40.7263,-74.0019",5.782057432080577,32.11666666666667,10.801975482869786,city,bike,Medium
165,2016-05-21,22,5,1,"40.761,-73.9873","40.8502,-73.9386",10.732174983166123,15.8,40.75509487278274,city,bus,Low
166,2016-02-10,18,2,0,"40.7233,-74.0062","40.7307,-73.9863",1.8679066885347126,12.233333333333333,9.16139520262257,city,car,High
167,2016-03-17,19,3,0,"40.7793,-73.9445","40.7934,-73.9745",2.972794763554685,17.9,9.964675185099505,city,car,High
168,2016-04-28,19,3,0,"40.7944,-73.9718","40.7804,-73.9798",1.6961822204245236,6.483333333333333,15.697316178735951,city,bike,Medium
169,2016-05-26,21,3,0,"40.7623,-73.9662","40.7733,-73.9581",1.4004987870505257,2.5833333333333335,32.52771376375414,city,bus,Low
170,2016-03-10,9,3,0,"40.7649,-73.9767","40.7484,-73.9763",1.8350256091413046,17.883333333333333,6.156656284164675,city,bus,High
171,2016-01-14,9,3,0,"40.7269,-74.0001","40.7859,-73.9572",7.489798660087804,31.333333333333332,14.342167646976646,city,bike,Medium
172,2016-03-18,0,4,0,"40.7234,-73.9883","40.744,-73.98",2.3949943688922057,6.2,23.177364860247152,city,car,Medium
173,2016-02-11,21,3,0,"40.7316,-73.9823","40.7366,-73.9745",0.8608315925033705,5.0,10.329979110040446,city,bus,Medium
174,2016-04-30,19,5,1,"40.7575,-73.9742","40.7724,-73.979",1.7054083685175296,12.65,8.088893447513975,city,car,High
175,2016-02-16,11,1,0,"40.7431,-73.9821","40.7508,-73.9877",0.9775628000395614,9.683333333333334,6.0571877455119125,city,car,High
176,2016-04-01,20,4,0,"40.7776,-73.9591","40.7835,-73.9547",0.7534273573957214,2.1666666666666665,20.864142204804594,city,car,Medium
177,2016-03-04,9,4,0,"40.746,-73.9792","40.7595,-73.968",1.7729739046534352,12.483333333333333,8.521636924903026,city,bike,High
178,2016-04-14,9,3,0,"40.7559,-73.981","40.7683,-73.8616",10.150198500113948,32.5,18.73882800021037,city,bus,Medium
179,2016-03-26,8,5,1,"40.681,-73.9805","40.669,-73.9877",1.4659958670514082,6.283333333333333,13.998899526220344,city,bus,Medium
180,2016-04-15,12,4,0,"40.7495,-73.9911","40.7796,-73.9615",4.173325353067765,23.65,10.587717597634922,city,car,Medium
181,2016-06-10,14,4,0,"40.7697,-73.8636","40.8039,-73.948",8.059326465131116,26.1,18.527187276163485,city,bike,Medium
182,2016-05-16,17,0,0,"40.7368,-73.9929","40.7253,-73.9811",1.6198091108696355,9.533333333333333,10.194602795683021,city,bus,Medium
183,2016-01-09,15,5,1,"40.7261,-73.9983","40.7399,-73.991",1.6531773417759679,13.3,7.45794289522993,city,bus,High
184,2016-03-20,13,6,1,"40.7133,-74.0086","40.7036,-74.0117",1.1097906339637085,4.466666666666667,14.907635381602052,city,bus,Medium
185,2016-01-28,22,3,0,"40.7153,-74.0089","40.7341,-73.9996",2.232540451257229,5.466666666666667,24.503492757701295,city,bike,Medium
186,2016-04-17,14,6,1,"40.7566,-73.9903","40.7739,-73.8709",10.2379842487864,37.81666666666667,16.243606564844,city,bus,Medium
187,2016-03-29,21,1,0,"40.7429,-73.9866","40.7598,-73.9678",2.4574899839155155,16.55,8.909329246823622,city,bike,High
188,2016-01-12,18,1,0,"40.7175,-74.0138","40.7708,-73.9564",7.649128391462476,30.583333333333332,15.006464419217938,city,bike,Medium
189,2016-04-24,18,6,1,"40.724,-73.985","40.7235,-73.9959",0.9202308934033139,5.766666666666667,9.57465669436974,city,car,High
190,2016-02-08,17,0,0,"40.7654,-73.9822","40.7264,-73.9951",4.470693279748525,17.516666666666666,15.313506952516354,city,bike,Medium
191,2016-01-15,13,4,0,"40.7807,-73.9563","40.7736,-73.9617",0.9110617347537806,3.4833333333333334,15.692929402457466,city,bus,Medium
192,2016-01-05,21,1,0,"40.7251,-73.9995","40.7477,-74.0007",2.515038404828119,9.95,15.166060732631875,city,bike,Medium
193,2016-04-16,14,5,1,"40.7834,-73.9552","40.7713,-73.9602",1.4097912436966304,6.033333333333333,14.02002341797754,city,bus,Medium
194,2016-05-06,6,4,0,"40.7371,-73.9967","40.7254,-74.0042",1.4463478667577123,4.8,18.079348334471405,city,bus,Medium
195,2016-05-04,6,2,0,"40.7571,-73.9975","40.7688,-73.9886",1.5014662274940864,4.466666666666667,20.168949324547427,city,bus,Medium
196,2016-06-27,10,0,0,"40.7114,-74.0157","40.7308,-74.0105",2.2012435687723504,10.616666666666667,12.440309022889263,city,bus,Medium
197,2016-04-17,19,6,1,"40.7354,-74.0099","40.7264,-73.99",1.9527379088674948,15.916666666666666,7.361106253322493,city,bike,High
198,2016-06-27,12,0,0,"40.7447,-73.9989","40.7485,-73.9802",1.6310035240196248,16.6,5.895193460311897,city,bus,High
199,2016-01-29,19,4,0,"40.7783,-73.9887","40.7769,-73.9778",0.9309148044341096,4.083333333333333,13.678748146786917,city,car,Medium
200,2016-04-17,15,6,1,"40.7204,-73.9998","40.7406,-73.9304",6.264324406431093,31.05,12.104974698417571,city,car,Medium
201,2016-06-18,13,5,1,"40.7615,-73.9702","40.7397,-73.9845",2.70685007746106,9.7,16.74340254099625,city,bus,Medium
